station,window_start,window_end,amb_resets,cn0,code_wrms,h_conv,mp1,mp2,mp5,mw12,mw15,mw25,phase_wrms,satellite_gaps,uptime,v_conv,score,rank
BOR1,2019-01-01,2025-12-31,0.9169414166331796,0.9023691670370991,0.5977818410111614,0.9081746672224044,0.34387761760428337,0.39924031370271174,0.36778927596614375,0.19018788272932044,0.19683872489793613,0.42738484060702925,0.7266108024989609,0.17858377371874423,0.9996089166992569,0.8791368423917482,0.734598174470694,46
GRAS,2019-01-01,2025-12-31,0.7349088683896958,0.8333246195470059,0.6981355127240247,0.9013719774967482,0.3800321383830741,0.4613478452577704,0.3714876770868542,0.28199433688474707,0.3957648821274413,0.45678690388475085,0.7125197714892744,0.7799410713545732,0.5612045365662887,0.8829774443322271,0.7307679712885342,47
HRAO,2019-01-01,2025-12-31,0.87835730279631,0.8097167092906743,0.5261499636479074,0.6713641296149411,0.5301015527728425,0.5119488333555688,0.3812623594191108,0.6069067279485175,0.4939604448127383,0.5947758195196194,0.7160453810731049,0.5804162760671254,0.9116151740320688,0.7894035334000389,0.7299307832258826,48
RIGA,2019-01-01,2025-12-31,0.9439443576246997,0.9654735653578406,0.6771364162608281,0.8733409621293352,0.10047726555866512,0.30329575676230086,0.2822670948785512,0.4229886865728932,0.50179805191113,0.4516642653294924,0.6755647984767102,0.24982048577962623,0.9835745013687915,0.8631577855819484,0.7299092687811435,49
ZIM2,2019-01-01,2025-12-31,0.9245377116988299,0.9319708539564515,0.6302666475494121,0.8977723064087566,0.31505317082348644,0.3534388951048449,0.32969587523005,0.20873677438614416,0.2156513150609167,0.4059789956961047,0.6837729275573508,0.2668981614106558,0.9777082518576456,0.8725125935821435,0.728987809988589,50
KMNM,2019-01-01,2025-12-31,0.7693939696975233,0.5348564556961722,0.6591376188783468,0.8378135150966506,0.6609660507129709,0.6018908438513785,0.5149048273586256,0.2898577926520409,0.5102107790722825,0.7107664822182138,0.7424594787827928,0.39906229729768306,0.8330074305827141,0.8329261317208694,0.7283352198247838,51
OHI3,2019-01-01,2025-12-31,0.9342995553280324,0.9868042728432116,0.8280004313175856,0.8915103151938936,0.326179806638955,0.20602234205099149,0.20178685779462507,0.4306088993951822,0.3003250003910661,0.4987079050513524,0.6608689352928618,0.2776764280448174,0.6671881110676574,0.8861342042755345,0.7273167098566355,52
NICO,2019-01-01,2025-12-31,0.9356625596382123,0.9796026719075083,0.844484050959061,0.8852990674648346,0.2038865386276831,0.24720721661505415,0.2770148632821432,0.3207513600708938,0.3001553532580664,0.46067410658143587,0.6354598116139734,0.2764596989206467,0.992960500586625,0.8617298919074432,0.7255088110318474,53
KRGG,2019-01-01,2025-12-31,0.9231807905780007,0.9286055841459856,0.7709941265736022,0.8770621096115776,0.4421817589352812,0.42545182653898744,0.33923716476451476,0.2534264022793989,0.331034064512677,0.4162401330634244,0.6038277750115107,0.531173145806243,0.9804458349628471,0.885729048187089,0.7249270681874046,54
DAV1,2019-01-01,2025-12-31,0.5047205622503803,0.9010207947516476,0.6970035010375144,0.9002617270024095,0.25852366170188007,0.2257054552168945,0.2285223061209782,0.4081654424516043,0.39755688608179574,0.5401974042814081,0.8367905720335302,0.8678661125890568,0.8916699256941728,0.8661648370002581,0.7227289409001012,55
BSHM,2019-01-01,2025-12-31,0.6901546729806474,0.8796015989150566,0.6774381074370358,0.877483911223658,0.5725600255117973,0.5479706295782255,0.45189227831518775,0.5457141909333173,0.49849281191522576,0.6166237425734898,0.7788656835920317,0.19527648463524105,0.9734063355494721,0.8684182938931831,0.7221345526591566,56
HOFN,2019-01-01,2025-12-31,0.8347180198769254,0.9831148369840437,0.7339829009214188,0.8763730337078652,0.24430855882865807,0.15013309116407553,0.141345573187876,0.4299676067023236,0.2647660114713621,0.49234597113792716,0.6586861985836729,0.3807564371838674,0.986312084473993,0.8732379310344828,0.7220866836231273,57
GODN,2019-01-01,2025-12-31,0.7550374659805688,0.825920827358467,0.46632036703199276,0.8964551734088408,0.9428463520390159,0.37756100199972825,0.18385494127623056,0.7938066139410884,0.5228264500260853,0.5616101836993015,0.7524350477801928,0.361836742062734,0.9831834180680485,0.876539408866995,0.7211921600089535,58
KARR,2019-01-01,2025-12-31,0.9033430906124842,0.7867693586868246,0.663608944527102,0.874015809698843,0.35988309166915566,0.3609258593288516,0.3488415604400312,0.32921224404103033,0.34105961293597475,0.4245298351946475,0.6321737448032346,0.4943578737391118,0.8498240125146657,0.846325791565184,0.7182188700661314,59
MAW1,2019-01-01,2025-12-31,0.5921824557325478,0.8008094048698507,0.6165900886120426,0.894588286381154,0.22753957602496191,0.21038246799633917,0.2167539385899636,0.32964717098154817,0.3339092842014607,0.4482412406195595,0.7628211938887914,0.7464698900794284,0.980054751662104,0.8833118163140653,0.7165761885236748,60
M0SE,2019-01-01,2025-12-31,0.9542985883199637,0.9797040787696594,0.5569945460519864,0.8482129457953517,0.14335514190239979,0.25373897424389685,0.2983055646386859,0.3792472029098819,0.38646703186848846,0.44387238200001367,0.6725305282853569,0.2456845514903555,0.9163081736409855,0.8465695523629827,0.7158546479554322,61
MKEA,2019-01-01,2025-12-31,0.8239605343500586,0.8766860005006889,0.45246605280837665,0.8867597692752427,0.3990931948603049,0.3897609728000766,0.36344057892559356,0.41097365816120546,0.39039914347407717,0.4819643808897754,0.6869115797661384,0.5015123427273933,0.9890496675791943,0.8551951088675845,0.7150650561816404,62
