station,window_start,window_end,amb_resets_no_kf,cn0,mp1,mp2,mp5,mw12,mw15,mw25,satellite_gaps,uptime,score,rank
EBRE,2019-01-01,2025-12-31,0.9489065470017879,0.9909900695059086,0.2249678373622969,0.22647634420285567,0.25903545172107095,0.3468702762945344,0.2608119822980523,0.44254688653515434,0.6060640705570772,0.9925694172858819,0.5214815108115571,67
JOZE,2019-01-01,2025-12-31,0.9377356560324326,0.8719653983696666,0.2906616661318094,0.25614491638605963,0.2561683765440244,0.3855906712169839,0.34397898911941877,0.5678034752738987,0.49774726586293294,0.8584278451310129,0.521078014887431,68
ALIC,2019-01-01,2025-12-31,0.9455367729478888,0.8025325732567128,0.2302641815309747,0.3176241616516957,0.3366502483733088,0.3449152261519076,0.3993162891761975,0.49149627235476656,0.4469461208370197,0.9495502542041455,0.520976160248889,69
ABMF,2019-01-01,2025-12-31,0.9023606908081057,0.867954278063097,0.26637157038250664,0.26856004962779845,0.2978907797303801,0.28966988689694206,0.3110329186136691,0.4577304988158143,0.5964681469617006,0.9992178333985139,0.5195990381618747,70
ISPA,2019-01-01,2025-12-31,0.8316764767964961,0.8413813303190104,0.3613393387438337,0.4877488548672776,0.38696051607594933,0.32185705083261795,0.4258022074577465,0.5192489480827907,1.0,0.07195932733672272,0.5192241790100484,71
MAS1,2019-01-01,2025-12-31,0.8555036100593636,0.8988649153808663,0.26572297967985525,0.28152847787396923,0.3007955367425248,0.2840850100012796,0.28356529885317455,0.42925888768659215,0.6534456434643803,0.9992178333985139,0.5191237035576125,72
DAV1,2019-01-01,2025-12-31,0.5053313806649218,0.9010204946162441,0.25846947538627335,0.22566810723985384,0.22853996423732353,0.40821817819936845,0.3974970198664794,0.5401050373235563,0.8678661125890568,0.8916699256941728,0.517676878529034,73
KARR,2019-01-01,2025-12-31,0.9029423282347027,0.786765084011912,0.3598462947636351,0.3609113767545663,0.34886243100449665,0.3292259446019847,0.34099097571704595,0.42443628706016673,0.4943578737391118,0.8498240125146657,0.5165926080306308,74
VACS,2019-01-01,2025-12-31,0.9371208414948692,0.8822681606873911,0.2506550988780522,0.2800722966909398,0.3040013749298803,0.3746574018845121,0.368012391052896,0.469783330589415,0.43620103301973545,0.9010559249120063,0.5160148525905356,75
NANO,2019-01-01,2025-12-31,0.9600839186954598,0.8721294957925328,0.2511559778916196,0.22597278352731898,0.2132944322669822,0.33969170345458455,0.32836891027490256,0.5311539630678382,0.8251685333149489,0.6613218615565115,0.5160069543708897,76
CPVG,2019-01-01,2025-12-31,0.7975187620107211,0.8443501464054647,0.47806744767218196,0.416612211031525,0.33783552764809527,0.22014727302243356,0.27849380728552997,0.366759367306885,0.47151660012813434,0.986312084473993,0.5158336637839984,77
