Site Name,Country/Region,Receiver,Antenna,Radome,Satellite System,Latitude,Longitude,Height (m),X (m),Y (m),Z (m),Calibration,Networks,Data Center,IERS DOMES,Clock,Agencies,Last Data
DHLG00USA,US,TPS NET-G3A,TPSCR.G3,SCIS,GPS+GLO,33.38980555555555,-115.78802777777776,-83.05,-2319099.26,-4799846.5,3490090.45,ROBOT,IGS,SIO,49904M001,INTERNAL,USGS,174
DJIG00DJI,DJ,SEPT POLARX5,TRM59800.00,NONE,GPS+GLO+GAL+BDS+IRNSS+SBAS,11.526287572222222,42.847064450000005,711.409,4583086.1415,4250982.5036,1266243.0645,ROBOT,"IGS20, IGS Multi-GNSS, IGS, RTS",IGN,39901M005,INTERNAL,Centre National d'Etudes Spatiales,1
DLF100NLD,NL,TRIMBLE ALLOY,LEIAR25.R3,LEIT,GPS+GLO+GAL+BDS+QZSS+SBAS,51.986019444444445,4.387458333333334,75.8,3924697.942,301124.893,5001905.154,ROBOT,"IGS20, IGS Multi-GNSS, IGS, RTS",DUT,13502M009,EXTERNAL CESIUM,Delft University of Technology,1
DLTV00VNM,VN,JAVAD TRE_3S DELTA,TRM115000.10,NONE,GPS+GLO+GAL+BDS+QZSS+SBAS,11.945273085762247,108.48175285175819,1585.2912256984891,-1978879.097,5920511.651,1311808.34,ROBOT,"IGS, IGS Multi-GNSS",JAXA,24306M001,INTERNAL,Japan Aerospace Exploration Agency,138
DRAG00ISR,IL,JAVAD TRE_3 DELTA,ASH700936D_M,SNOW,GPS+GLO,31.5932,35.392069444444445,31.8,4432980.662,3149432.093,3322110.441,ROBOT,"IGS20, IGS08, IGS, IGS14",BKG,20710S001,INTERNAL,Survey of Israel,1
DRAO00CAN,CA,SEPT POLARX5,TWIVC6050,SCIS,GPS+GLO+GAL,49.322599999999994,-119.625,542.0,-2059164.682,-3621108.388,4814432.366,ROBOT,"IGS20, IGS08 Core, IGS14 Core, IGS08, IGS, IGS14, IGS Multi-GNSS, RTS",PGC,40105M002,EXTERNAL H-MASER,Geological Survey of Canada,1
DRDN00IND,IN,TRIMBLE ALLOY,JAVGRANT_G5TLBI,NONE,GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS,30.34028747956514,78.04416388169994,668.5627503852579,1141412.9376,5390352.8072,3203324.043,ROBOT,"IGS, IGS Multi-GNSS",CDDIS,22315M001,EXTERNAL RUBIDIUM,ISTRAC,1
DUBI00ARE,AE,TRIMBLE NETR9,TRM59900.00,SCIS,GPS+GLO+GAL+BDS,25.002320569444446,55.466769444444445,67.9,3278838.936,4764817.93,2679336.143,ROBOT,"IGS Multi-GNSS, RTS, IGS",CDDIS,24703M001,INTERNAL,Dubai DVRS,3
DUBO00CAN,CA,SEPT POLARX5,AOAD/M_T,NONE,GPS+GLO+GAL,50.25880822798294,-95.86618544442643,245.29271065938676,-417604.046,-4064529.848,4881432.123,ROBOT,"IGS20, IGS08, IGS, IGS14, RTS, IGS Multi-GNSS",CDDIS,40137M001,EXTERNAL RUBIDIUM,Natural Resources Canada,1
DUMG00ATA,AQ,LEICA GR50,LEIAR25.R4,LEIT,GPS+GLO+GAL+BDS+QZSS+SBAS,-66.66516944444444,140.00219999999996,-3.38,-1940884.0,1628468.0,-5833720.0,ROBOT,"IGS, IGS Multi-GNSS, RTS",IGN,91501M003,INTERNAL,Centre National d'Etudes Spatiales,1
DUND00NZL,NZ,TRIMBLE ALLOY,TRM115000.00,NONE,GPS+GLO+GAL+BDS+QZSS,-45.8836591,170.5971597,386.92,-4388120.87,726672.19,-4556533.05,ROBOT,"IGS, IGS Multi-GNSS, RTS",CDDIS,50212M003,INTERNAL,GNS Science,1
DYNG00GRC,GR,SEPT POLARX5,TRM59800.00,NONE,GPS+GLO+GAL+BDS+IRNSS+SBAS,38.07855277777777,23.93243333333334,510.6,4595220.016,2039434.081,3912626.007,ROBOT,"IGS20, IGS, IGS Multi-GNSS, RTS",IGN,12602M006,INTERNAL,Centre National d'Etudes Spatiales,15
EBRE00ESP,ES,LEICA GR50,LEIAR25.R4,NONE,GPS+GLO+GAL+BDS,40.82088611111111,0.49235,107.3,4833520.0,41536.0,4147461.0,ROBOT,"IGS20, IGS, IGS14, IGS Multi-GNSS, RTS",BKG,13410M001,INTERNAL,Institut Cartografic i Geologic de Cataluny,1
EIL300USA,US,NOV OEM6,TPSCR.G5,TPSH,GPS,64.68788888888889,-147.11301944444443,177.3,-2296304.494,-1484805.9927,5743078.2062,ROBOT,IGS,CDDIS,49805S002,EXTERNAL CESIUM,National Geospatial-Intelligence Agency,2
EIL400USA,US,NOV OEM6,TPSCR.G5,TPSH,GPS,64.68788888888889,-147.11301944444443,177.3,-2296304.494,-1484805.9927,5743078.2062,ROBOT,IGS,CDDIS,49805S002,EXTERNAL CESIUM,National Geospatial-Intelligence Agency,2
ENAO00PRT,PT,SEPT POLARX5,TWIVC6150,NONE,GPS+GLO+GAL+BDS+SBAS,39.09120277777778,-28.026011111111117,91.6,4375732.1533,-2329166.8136,4000238.2806,ROBOT,"IGS, IGS Multi-GNSS, RTS",CDDIS,31902M005,INTERNAL,GeoForschungsZentrum,7
ENTB00UGA,UG,LEICA GR50,LEIAR20,LEIM,GPS+GLO+GAL+BDS,0.05998055555555555,32.47601111111111,1164.9,5381680.302,3425341.7,6633.573,ROBOT,"IGS, IGS Multi-GNSS",National Lands Information Centre (Kampala),33903M002,INTERNAL,Institut National de l'Information Geographique et,1
EPRT00USA,US,LEICA GR50,LEIAR20,LEIM,GPS+GLO+GAL,44.9087111111111,-66.99213055555558,30.4,1768544.556,-4164839.445,4480190.419,ROBOT,"IGS08, IGS",https://geodesy.noaa.gov/corsdata/,49928S001,INTERNAL,National Geodetic Survey,
ESCU00CAN,CA,TRIMBLE NETR9,ASH701945E_M,NONE,GPS,47.07340403688275,-64.79871032096469,-16.02179357411732,1852954.53,-3937498.76,4647314.64,ROBOT,IGS,CDDIS,40168M001,INTERNAL,"NRCan, Geodetic Survey Division",1
